Shot Number,Scene Number,Scene Name,Shot Size,Shot Type,AngleOrigin,MoveMent,lens,Sound,Description,Start Line Index,Start Char Index,End Char Index,End Line Index,Surrounding Text
1,1,EXT. BEACH - DAY,Wide,SINGLE,EYE/FRONTAL,STATIC or PAN,10-24,SYNC,JANE walking on beach lost in thought,6,0,102,13,"['/* SHOTSTART 1: 1,W,SINGLE,EYE/FRONTAL,STATIC or PAN,10-24,SYNC, Wide single of JANE walking on beach */', '', '/* SHOTSTART 2: 1,M,SINGLE,EYE/FRONTAL,STATIC or PAN,28-50,SYNC, medium single of JANE walking on beach */', '', '/* SHOTSTART 3: 1,CU,SINGLE,EYE/FRONTAL,STATIC or PAN,35-70,SYNC, Close UP single of JANE walking on beach */', 'A woman, JANE (30s), walks along the beach, lost in thought.', '', '/* SHOTEND 1: */']"
2,1,EXT. BEACH - DAY,Medium,SINGLE,EYE/FRONTAL,STATIC or PAN,28-50,SYNC,JANE walking on beach lost in thought,8,0,104,15,"['/* SHOTSTART 2: 1,M,SINGLE,EYE/FRONTAL,STATIC or PAN,28-50,SYNC, medium single of JANE walking on beach */', '', '/* SHOTSTART 3: 1,CU,SINGLE,EYE/FRONTAL,STATIC or PAN,35-70,SYNC, Close UP single of JANE walking on beach */', 'A woman, JANE (30s), walks along the beach, lost in thought.', '', '/* SHOTEND 1: */', '', '/* SHOTEND 2: */']"
3,1,EXT. BEACH - DAY,Close up,SINGLE,EYE/FRONTAL,STATIC or PAN,35-70,SYNC,JANE walking on beach lost in thought,10,0,107,17,"['/* SHOTSTART 3: 1,CU,SINGLE,EYE/FRONTAL,STATIC or PAN,35-70,SYNC, Close UP single of JANE walking on beach */', 'A woman, JANE (30s), walks along the beach, lost in thought.', '', '/* SHOTEND 1: */', '', '/* SHOTEND 2: */', '', '/* SHOTEND 3: */']"
4,1,EXT. BEACH - DAY,Close up,SINGLE,EYE/FRONTAL,STATIC,35-70,SYNC,JANE ,19,0,83,24,"['/* SHOTSTART 4: 1,CU,SINGLE,EYE/FRONTAL,STATIC,35-70,SYNC, Close up single of JANE */', 'JANE', '(to herself)', 'What am I going to do?', '', '/* SHOTEND 4: */']"
5,1,EXT. BEACH - DAY,Wide,SINGLE,EYE/45 degrees,STATIC,10-24,SYNC,JANE ,26,0,81,29,"['/* SHOTSTART 5: 1,W,SINGLE,EYE/45 degrees,STATIC,10-24,SYNC, Wide single of JANE */', 'She looks out at the ocean and takes a deep breath.', '', '/* SHOTEND 5: */']"
6,2,INT. JANE'S APARTMENT - DAY,Medium Wide,SINGLE,EYE/FRONTAL,STATIC,28-50,SYNC,JANE on couch ,38,0,95,41,"['/* SHOTSTART 6: 2,MW,SINGLE,EYE/FRONTAL,STATIC,28-50,SYNC, Medium Wide single of JANE on couch */', 'Jane is sitting on the couch, looking at a photo of herself and her ex-boyfriend, TOM.', '', '/* SHOTEND 6: */']"
7,2,INT. JANE'S APARTMENT - DAY,Close up,SINGLE,EYE/FRONTAL,STATIC,35-70,SYNC,JANE ,43,0,83,48,"['/* SHOTSTART 7: 2,CU,SINGLE,EYE/FRONTAL,STATIC,35-70,SYNC, Close up single of JANE */', 'JANE', '(to herself)', ""I can't believe he left me."", '', '/* SHOTEND 7: */']"
8,2,INT. JANE'S APARTMENT - DAY,Wide-Medium Wide,SINGLE to DOUBLE,EYE/FRONTAL,MOVING,10-24,SYNC,JANE on couch and moving to door opening and seeing SARAH,50,0,156,53,"['/* SHOTSTART 8: 2,W-MW,SINGLE to DOUBLE,EYE/FRONTAL,MOVING,10-24,SYNC, wide/Medium Wide single of JANE on couch and moving to door opening and seeing Sarah */', ""The doorbell rings. Jane gets up and answers it. It's her best friend, SARAH."", '', '/* SHOTEND 8: */']"
9,2,INT. JANE'S APARTMENT - DAY,OTS,SINGLE,EYE/FRONTAL,STATIC,35-70,SYNC,SARAH ,55,0,87,69,"['/* SHOTSTART 9: 2,OTS,SINGLE,EYE/FRONTAL,STATIC,35-70,SYNC, Over the shoulder of SARAH */', 'SARAH', 'Hey, girl. How are you holding up?', '', '/* SHOTSTART 10: 2,OTS,SINGLE,EYE/FRONTAL,STATIC,35-70,SYNC, Over the shoulder of JANE */', 'JANE', 'Not great. Tom broke up with me.', '', 'SARAH', ""I'm sorry to hear that. Want to talk about it?"", '', 'JANE', 'Yeah, that would be great.', '', '/* SHOTEND 9: */']"
10,2,INT. JANE'S APARTMENT - DAY,OTS,SINGLE,EYE/FRONTAL,STATIC,35-70,SYNC,JANE ,59,0,87,71,"['/* SHOTSTART 10: 2,OTS,SINGLE,EYE/FRONTAL,STATIC,35-70,SYNC, Over the shoulder of JANE */', 'JANE', 'Not great. Tom broke up with me.', '', 'SARAH', ""I'm sorry to hear that. Want to talk about it?"", '', 'JANE', 'Yeah, that would be great.', '', '/* SHOTEND 9: */', '', '/* SHOTEND 10: */']"
11,2,INT. JANE'S APARTMENT - DAY,Medium Wide,DOUBLE,EYE/FRONTAL,STATIC,28-50,SYNC,JANE and SARAH on couch ,73,0,106,88,"['/* SHOTSTART 11: 2,MW,DOUBLE,EYE/FRONTAL,STATIC,28-50,SYNC, Medium Wide DOUBLE of JANE and SARAH on couch */', 'Sarah sits down next to Jane on the couch.', '', '/* SHOTSTART 12: 2,CU,SINGLE,EYE/FRONTAL,STATIC,50-80,SYNC, Close Up Single of JANE on couch */', ""JANE (CONT'D)"", ""I just don't know what to do without him."", '', '/* SHOTEND 12: */', '', 'SARAH', ""You'll figure it out. You're strong."", '', 'JANE', 'Thanks, Sarah. You always know what to say.', '', '/* SHOTEND 11: */']"
12,2,INT. JANE'S APARTMENT - DAY,Close up,SINGLE,EYE/FRONTAL,STATIC,50-80,SYNC,JANE on couch ,76,0,93,80,"['/* SHOTSTART 12: 2,CU,SINGLE,EYE/FRONTAL,STATIC,50-80,SYNC, Close Up Single of JANE on couch */', ""JANE (CONT'D)"", ""I just don't know what to do without him."", '', '/* SHOTEND 12: */']"
